"Time","cpu0","cpu1","cpu2","cpu3"
2023-09-20 20:45:00,56,48,63,51
2023-09-20 20:47:30,51,53,57,56
2023-09-20 20:50:00,52,19,42,70
2023-09-20 20:52:30,35,66,38,46
2023-09-20 20:55:00,70,70,67,68
2023-09-20 20:57:30,64,62,59,56
2023-09-20 21:00:00,57,53,70,52
2023-09-20 21:02:30,60,60,55,53
2023-09-20 21:05:00,58,59,47,52
2023-09-20 21:07:30,45,54,54,57
2023-09-20 21:10:00,53,34,29,40
2023-09-20 21:12:30,49,35,49,35
2023-09-20 21:15:00,62,61,63,54
2023-09-20 21:17:30,59,62,58,55
2023-09-20 21:20:00,56,55,55,57
2023-09-20 21:22:30,54,69,48,54
2023-09-20 21:25:00,62,47,60,56
2023-09-20 21:27:30,57,59,66,53
2023-09-20 21:30:00,52,49,58,58
2023-09-20 21:32:30,28,61,41,30
2023-09-20 21:35:00,50,29,40,53
2023-09-20 21:37:30,86,86,87,84
2023-09-20 21:40:00,64,67,55,66
2023-09-20 21:42:30,57,62,62,55
2023-09-20 21:45:00,63,52,55,54

