"Time","Value"
2023-09-18 14:18:30,342
2023-09-18 14:19:00,342
2023-09-18 14:19:30,342
2023-09-18 14:20:00,342
2023-09-18 14:20:30,353
2023-09-18 14:21:00,353
2023-09-18 14:21:30,353
2023-09-18 14:22:00,352
2023-09-18 14:22:30,353
2023-09-18 14:23:00,353
2023-09-18 14:23:30,353
2023-09-18 14:24:00,353
2023-09-18 14:24:30,353
2023-09-18 14:25:00,353
2023-09-18 14:25:30,343
2023-09-18 14:26:00,341
2023-09-18 14:26:30,341
2023-09-18 14:27:00,342
2023-09-18 14:27:30,342
2023-09-18 14:28:00,342
2023-09-18 14:28:30,342
2023-09-18 14:29:00,341
2023-09-18 14:29:30,342
2023-09-18 14:30:00,341
2023-09-18 14:30:30,352
2023-09-18 14:31:00,352
2023-09-18 14:31:30,352
2023-09-18 14:32:00,352
2023-09-18 14:32:30,352
2023-09-18 14:33:00,352
2023-09-18 14:33:30,353
2023-09-18 14:34:00,353
2023-09-18 14:34:30,352
2023-09-18 14:35:00,352
2023-09-18 14:35:30,342
2023-09-18 14:36:00,342
2023-09-18 14:36:30,342
2023-09-18 14:37:00,342
2023-09-18 14:37:30,342
2023-09-18 14:38:00,342
2023-09-18 14:38:30,342
2023-09-18 14:39:00,341
2023-09-18 14:39:30,342
2023-09-18 14:40:00,342
2023-09-18 14:40:30,352
2023-09-18 14:41:00,352
2023-09-18 14:41:30,352
2023-09-18 14:42:00,353
2023-09-18 14:42:30,353
2023-09-18 14:43:00,353
2023-09-18 14:43:30,353
2023-09-18 14:44:00,353
2023-09-18 14:44:30,353
2023-09-18 14:45:00,353
2023-09-18 14:45:30,343
2023-09-18 14:46:00,343
2023-09-18 14:46:30,343
2023-09-18 14:47:00,343
2023-09-18 14:47:30,343
2023-09-18 14:48:00,343
2023-09-18 14:48:30,342
2023-09-18 14:49:00,342
2023-09-18 14:49:30,342
2023-09-18 14:50:00,342
2023-09-18 14:50:30,353
2023-09-18 14:51:00,353
2023-09-18 14:51:30,352
2023-09-18 14:52:00,352
2023-09-18 14:52:30,352
2023-09-18 14:53:00,352
2023-09-18 14:53:30,352
2023-09-18 14:54:00,352
2023-09-18 14:54:30,352
2023-09-18 14:55:00,352
2023-09-18 14:55:30,342
2023-09-18 14:56:00,342
2023-09-18 14:56:30,341
2023-09-18 14:57:00,342
2023-09-18 14:57:30,341
2023-09-18 14:58:00,341
2023-09-18 14:58:30,341
2023-09-18 14:59:00,342
2023-09-18 14:59:30,341
2023-09-18 15:00:00,341
2023-09-18 15:00:30,351
2023-09-18 15:01:00,351
2023-09-18 15:01:30,351
2023-09-18 15:02:00,351
2023-09-18 15:02:30,352
2023-09-18 15:03:00,352
2023-09-18 15:03:30,351
2023-09-18 15:04:00,352
2023-09-18 15:04:30,352
2023-09-18 15:05:00,351
2023-09-18 15:05:30,341
2023-09-18 15:06:00,341
2023-09-18 15:06:30,341
2023-09-18 15:07:00,341
2023-09-18 15:07:30,341
2023-09-18 15:08:00,341
2023-09-18 15:08:30,341
2023-09-18 15:09:00,341
2023-09-18 15:09:30,341
2023-09-18 15:10:00,341
2023-09-18 15:10:30,341
2023-09-18 15:11:00,340
2023-09-18 15:11:30,350
2023-09-18 15:12:00,350
2023-09-18 15:12:30,351
2023-09-18 15:13:00,351
2023-09-18 15:13:30,351
2023-09-18 15:14:00,351
2023-09-18 15:14:30,351
2023-09-18 15:15:00,352
2023-09-18 15:15:30,352
2023-09-18 15:16:00,352
2023-09-18 15:16:30,342
2023-09-18 15:17:00,342
2023-09-18 15:17:30,341
2023-09-18 15:18:00,341
2023-09-18 15:18:30,342

