"Time","Value"
2023-09-18 14:22:00,4.1
2023-09-18 14:23:00,4.0
2023-09-18 14:24:00,3.6
2023-09-18 14:25:00,2.8
2023-09-18 14:26:00,2.9
2023-09-18 14:27:00,3.7
2023-09-18 14:28:00,3.2
2023-09-18 14:29:00,3.3
2023-09-18 14:30:00,2.9
2023-09-18 14:31:00,3.0
2023-09-18 14:32:00,2.8
2023-09-18 14:33:00,3.2
2023-09-18 14:34:00,3.2
2023-09-18 14:35:00,2.7
2023-09-18 14:36:00,2.7
2023-09-18 14:37:00,3.3
2023-09-18 14:38:00,4.1
2023-09-18 14:39:00,3.8
2023-09-18 14:40:00,5.4
2023-09-18 14:41:00,5.4
2023-09-18 14:42:00,4.4
2023-09-18 14:43:00,3.3
2023-09-18 14:44:00,3.6
2023-09-18 14:45:00,3.1
2023-09-18 14:46:00,2.8
2023-09-18 14:47:00,2.6
2023-09-18 14:48:00,3.0
2023-09-18 14:49:00,3.9
2023-09-18 14:50:00,2.9
2023-09-18 14:51:00,2.9
2023-09-18 14:52:00,3
2023-09-18 14:53:00,3.0
2023-09-18 14:54:00,3.5
2023-09-18 14:55:00,3.0
2023-09-18 14:56:00,3
2023-09-18 14:57:00,3.8
2023-09-18 14:58:00,3.5
2023-09-18 14:59:00,3.3
2023-09-18 15:00:00,2.5
2023-09-18 15:01:00,2.7
2023-09-18 15:02:00,3.8
2023-09-18 15:03:00,3.8
2023-09-18 15:04:00,2.8
2023-09-18 15:05:00,3.3
2023-09-18 15:06:00,3.3
2023-09-18 15:07:00,3.6
2023-09-18 15:08:00,2.7
2023-09-18 15:09:00,3.1
2023-09-18 15:10:00,3.5
2023-09-18 15:11:00,3.4
2023-09-18 15:12:00,3.5
2023-09-18 15:13:00,3.1
2023-09-18 15:14:00,3.6
2023-09-18 15:15:00,2.8
2023-09-18 15:16:00,3.6
2023-09-18 15:17:00,3.2
2023-09-18 15:18:00,3.1
2023-09-18 15:19:00,3.5
2023-09-18 15:20:00,2.5
2023-09-18 15:21:00,2.6
2023-09-18 15:22:00,3.4

